module,trait,correlation,n_events,p_value,FDR,absolute_correlation
MEred,temperature_7d_mean,0.161232037687595,6,0.7602476189509239,0.8812200357416231,0.161232037687595
MEturquoise,temperature_7d_mean,0.15675018275161434,6,0.7668004504439887,0.8812200357416231,0.15675018275161434
MEturquoise,DO_7d_mean,0.15598489315505049,6,0.7679203168605573,0.8812200357416231,0.15598489315505049
MEbrown,precipitation_7d_total_mm,0.11462051599272087,6,0.8288221603109992,0.9215645055403493,0.11462051599272087
MEblue,DO_7d_mean,0.11238110696001191,6,0.8321379988969607,0.9215645055403493,0.11238110696001191
MEred,month_Jul,0.10318192837334542,6,0.8457763711737925,0.9215645055403493,0.10318192837334542
MEred,salinity_7d_spline_mean,0.07799290336809549,6,0.8832478561898862,0.9215645055403493,0.07799290336809549
MEred,conductivity_7d_spline_mean,0.07627627651239875,6,0.8858074756031223,0.9215645055403493,0.07627627651239875
MEgreen,precipitation_7d_total_mm,0.06498313928893312,6,0.9026624967395591,0.9215645055403493,0.06498313928893312
MEblack,temperature_7d_mean,-0.06203142285354326,6,0.907072210995702,0.9215645055403493,0.06203142285354326
MEturquoise,month_Jul,-0.06114332937048141,6,0.9083992983183442,0.9215645055403493,0.06114332937048141
MEyellow,temperature_7d_mean,0.009149102766483093,6,0.986276728768046,0.986276728768046,0.009149102766483093
